climate_zone,year_month,mean,std,p10,p90,n_cities
Polar,2024-08-01,14.787096774193547,2.043766696590795,13.630967741935484,15.943225806451611,2
Polar,2024-09-01,24.168333333333337,0.7848885271170686,23.724333333333334,24.612333333333336,2
Polar,2024-10-01,26.901612903225807,1.0834700679471287,26.288709677419355,27.51451612903226,2
Polar,2024-11-01,24.303333333333335,0.6269680126520709,23.948666666666668,24.658,2
Polar,2024-12-01,17.375806451612902,1.5579159082271354,16.494516129032256,18.25709677419355,2
Polar,2025-01-01,4.359677419354839,3.492195103214853,2.384193548387097,6.335161290322581,2
Polar,2025-02-01,-7.424999999999999,2.490026022321199,-8.833571428571428,-6.016428571428571,2
Polar,2025-03-01,-11.850000000000001,4.348706704297268,-14.31,-9.39,2
Subtropical,2024-08-01,17.603225806451615,8.409794968058776,10.699354838709677,22.820645161290326,3
Subtropical,2024-09-01,19.30888888888889,15.562756944182599,6.691333333333334,28.411333333333335,3
Subtropical,2024-10-01,19.95483870967742,16.656926012417255,6.420645161290323,29.790967741935486,3
Subtropical,2024-11-01,19.886666666666667,14.902517684382504,7.775333333333332,28.69533333333333,3
Subtropical,2024-12-01,19.206451612903226,10.063837342701529,10.94774193548387,25.43806451612903,3
Subtropical,2025-01-01,17.131182795698926,2.925630989036333,14.699354838709677,19.11225806451613,3
Subtropical,2025-02-01,15.664285714285716,7.412011934580744,10.784285714285714,21.80714285714286,3
Subtropical,2025-03-01,14.516666666666666,9.839670450951768,7.8825,22.6925,3
Temperate,2024-08-01,16.776612903225807,6.221047473569139,10.641290322580645,21.764193548387098,4
Temperate,2024-09-01,20.478505747126434,11.988195513264058,9.11148275862069,28.008333333333333,4
Temperate,2024-10-01,21.224193548387095,15.211998819414205,7.3490322580645175,29.32,4
Temperate,2024-11-01,20.9075,12.610515416670092,8.789333333333333,28.765,4
Temperate,2024-12-01,16.623387096774195,6.578937357459934,10.153225806451612,21.169032258064515,4
Temperate,2025-01-01,12.569354838709678,2.9525117616011864,9.658709677419356,14.801290322580645,4
Temperate,2025-02-01,8.294642857142858,10.117058277843363,0.24392857142857194,17.996785714285714,4
Temperate,2025-03-01,6.0375,14.835483224351002,-5.13875,19.963750000000005,4
Tropical,2024-08-01,23.367706093189963,5.593224030081422,18.716774193548385,27.173462365591398,3
Tropical,2024-09-01,21.62111111111111,5.205663938157843,17.348666666666666,25.625999999999998,3
Tropical,2024-10-01,21.736559139784948,5.607521830119684,17.09741935483871,25.943870967741937,3
Tropical,2024-11-01,22.438888888888886,5.83625863159052,17.658,26.948666666666668,3
Tropical,2024-12-01,24.353763440860217,4.721913329079598,20.442580645161293,27.449032258064516,3
Tropical,2025-01-01,26.851612903225803,3.2162940391876584,24.344516129032257,29.474838709677417,3
Tropical,2025-02-01,29.88690476190476,2.0446431170721353,28.340714285714288,31.574999999999996,3
Tropical,2025-03-01,31.575000000000003,0.5375000000000003,31.1275,31.957500000000003,3
