country,temperature_celsius,humidity,wind_kph,air_quality_pm2_5,n_cities,n_days
Afghanistan,19.12184210526316,26.96578947368421,8.220394736842104,18.627624999749035,1,760
Albania,19.222823218997362,57.77968337730871,8.34089709762533,14.695488127152334,1,758
Algeria,20.13672391017173,65.52443857331572,12.712681638044915,18.37959048977931,1,757
Andorra,8.714229249011858,65.56126482213439,8.249802371541502,4.701274045549677,1,759
Angola,25.970355731225297,75.78656126482214,9.483530961791832,29.880171276992176,1,759
Antigua and Barbuda,26.30635761589404,78.58675496688741,24.79867549668874,10.579552053166067,1,755
Argentina,14.750726552179655,82.47027741083224,10.301188903566711,11.173573316727794,1,757
Armenia,16.75415019762846,45.16732542819499,7.105533596837945,13.165876153209622,1,759
Australia,13.665633245382585,68.94459102902374,18.71642480211082,5.2842974933722395,2,760
Austria,12.756992084432717,67.93139841688654,12.743535620052771,17.246846965573393,1,758
Azerbaijan,18.741292875989444,61.85356200527705,22.97915567282322,16.69573878634259,1,758
Bahamas,24.63386454183267,80.83665338645419,21.266002656042495,8.796507303736917,1,753
Bahrain,29.66100131752306,50.92094861660079,19.273386034255598,63.78177206449044,1,759
Bangladesh,31.20725593667546,46.610817941952504,13.548812664907652,68.32851583188945,1,758
Barbados,27.00132100396301,79.65785997357992,24.64663143989432,11.26455487315532,1,757
Belarus,9.697493403693931,72.64643799472296,16.460290237467017,13.801715039452022,1,758
Belgium,13.446218564162058,76.82261416020351,17.798334053949482,11.179020022654267,5,1422
Belize,22.129973474801062,95.84482758620689,4.423607427055703,7.085421750789612,1,754
Benin,28.211477572559367,80.56332453825857,11.273614775725592,25.939815304939852,1,758
Bhutan,13.521928665785998,60.807133421400266,8.111492734478203,9.657582562747688,1,757
Bolivia,17.155644090305444,77.89442231075697,5.106108897742364,11.982480744261823,2,1506
Bosnia and Herzegovina,12.788405797101449,71.90118577075098,6.772859025032939,25.84532279327453,1,759
Botswana,22.296706192358368,53.546772068511196,12.730171277997366,15.181119896608536,1,759
Brazil,20.273605577689246,86.18260292164675,7.469787516600265,12.417277556599215,2,755
Brunei Darussalam,29.53883751651255,76.4332892998679,9.321928665785997,14.407569353086,1,757
Bulgaria,14.015078085304488,63.74276714103082,10.359618681126895,17.34025551924137,3,1739
Burkina Faso,27.897233201581027,51.63372859025033,15.178656126482213,40.22715415070022,1,759
Burundi,25.62618421052632,62.98947368421052,7.45282894736842,24.956447368421056,1,760
Bélgica,17.4,63.0,22.0,1.8,1,1
Cambodia,30.92228835978836,60.986111111111114,17.424537037037037,19.182159392038983,2,758
Cameroon,24.45699055355895,80.79672431865828,5.392052105171209,10.653162615740742,6,758
Canada,5.229062087186262,82.47027741083224,11.067767503302509,8.617239101701557,1,757
Cape Verde,23.859288537549407,71.6376811594203,20.32068511198946,24.42884717235138,1,759
Central African Republic,27.698548812664907,71.7269129287599,6.053034300791556,26.62752638560172,1,758
Chad,29.322499999999998,40.5921052631579,16.172236842105264,46.351684208518584,1,760
Chile,11.07883597883598,75.25,4.324867724867724,143.4068187830688,1,756
